OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,GlobalID,Shape__Area,Shape__Length
5,OLYM,LEGACY: contact allen_mccoy@nps.gov for additional information,Olympic National Park,2015-04-22T00:00:00.000Z,WA,PW,1530459,National Park,Legacy, ,Olympic,3f436c33-d188-4cf1-9538-be6148d0a1e9,8200694158.76563,1170696.37063396
7,ACAD,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Acadia National Park,2013-12-18T00:00:00.000Z,ME,NE,578853,National Park,Legacy, , ,8f2085a2-ce88-4bf7-a734-adc95b1466b3,306629780.058594,465283.073169497
22,GRSM,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Great Smoky Mountains National Park,2013-12-18T00:00:00.000Z,NC,SE,1018241,National Park,Legacy, , ,deb675a7-c3a9-453e-8865-1ecf82a62008,3180689381.40234,672719.805488069
23,ISRO,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Isle Royale National Park,2013-12-18T00:00:00.000Z,MI,MW,1616980,National Park,Legacy, , ,c5cbf7ef-6dcf-4c88-8bd9-6a468d872832,4967366188.16016,345471.877695799
30,REDW,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Redwood National Park,2013-12-18T00:00:00.000Z,CA,PW,277109,National Park,Legacy, , ,d50c7684-50fb-43dd-b600-39667c7e2068,831717918.625,379000.515413217
32,SHEN,LEGACY: NPS Inventory and Monitoring Program Data from 2008,Shenandoah National Park,2013-12-18T00:00:00.000Z,VA,NE,1488805,National Park,Legacy, , ,1235acb4-3de1-43e1-931a-043a40f9fcc2,1278732694.26172,737114.93647457
44,WOTR,Lands - http://landsnet.nps.gov/tractsnet/documents/WOTR/Metadata/wotr_metadata.xml,Wolf Trap National Park for the Performing Arts,2004-11-03T00:00:00.000Z,VA,NC,1888974,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048198#Wolf Trap National Park,Wolf Trap NP for the Performing Arts,b6245e20-a78f-4a49-bc52-3ff6a0b82476,897748.484375,5957.31346590837
77,DRTO,Lands - http://landsnet.nps.gov/tractsnet/documents/DRTO/Metadata/drto_metadata.xml,Dry Tortugas National Park,2007-11-07T00:00:00.000Z,FL,SE,307632,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1047947#Dry Tortugas National Park,Dry Tortugas,76a21567-38c1-4029-8eec-47d175475450,322682121.658203,69744.011851251
80,BRCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BRCA/Metadata/brca_metadata.xml,Bryce Canyon National Park,2008-03-27T00:00:00.000Z,UT,IM,1450197,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1047913#Bryce Canyon National Park,Bryce Canyon,5a7a3788-7281-49ff-9cd3-9d6736e8ee92,232305572.433594,127086.207493427
83,YELL,Lands - http://landsnet.nps.gov/tractsnet/documents/YELL/Metadata/yell_metadata.xml,Yellowstone National Park,2008-04-23T00:00:00.000Z,WY,IM,1609331,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048199#Yellowstone National Park,Yellowstone,586b5301-0100-454f-aa8d-38b068f24186,17557091671.7813,674249.710241557
95,SEQU,Lands - http://landsnet.nps.gov/tractsnet/documents/SEQU/Metadata/sequ_metadata.xml,Sequoia National Park,2008-11-26T00:00:00.000Z,CA,PW,266000,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048045#Sequoia National Park,Sequoia,7bba4618-7908-477b-bcbc-9701737d2d0c,2553244953.16797,320822.950719411
102,MACA,Lands - http://landsnet.nps.gov/tractsnet/documents/MACA/Metadata/maca_metadata.xml,Mammoth Cave National Park,2009-03-27T00:00:00.000Z,KY,SE,507318,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048014#Mammoth Cave National Park,Mammoth Cave,9196c798-c7c8-4d77-b1b7-9a0f18fc83a1,330311828.578125,146274.991346187
108,GRBA,Lands - http://landsnet.nps.gov/tractsnet/documents/GRBA/Metadata/grba_metadata.xml,Great Basin National Park,2009-09-10T00:00:00.000Z,NV,PW,862430,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1048548#Great Basin National Park,Great Basin,0f4174e5-dce3-4a42-a2e2-30cadb479ba2,515901038.429688,132859.999079179
118,CHIS,Lands - http://landsnet.nps.gov/tractsnet/documents/CHIS/Metadata/chis_metadata.xml,Channel Islands National Park,2009-09-03T00:00:00.000Z,CA,PW,1662323,National Park,Lands,https://irma.nps.gov/App/Reference/Profile/1049244#Channel Islands National Park,Channel Islands,2d2e1de8-9814-499e-8524-afca78b41f67,1449812262.11719,340840.437111071
